Entidad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aguascalientes,181598,182720,180652,180214,180747,187978,197168,209062,208221,198345,206272,211930,223156,237967,252153,266372,285722,300846,317821,332573,327624,334060,342012,353566
Baja California,591396,575025,552211,551403,580343,604068,635606,648645,640446,588455,605982,630511,653157,671109,708066,757302,792562,832480,871826,900460,913425,970873,1014110,1042411
Baja California Sur,79481,82260,81193,81763,88752,97691,110053,123099,128743,116507,115165,118226,123487,130005,134190,141962,152547,166661,179673,186720,172156,181079,205787,220535
Campeche,78250,88918,94683,98549,102444,104724,110889,116358,120859,124104,123791,130489,144167,152435,152306,144862,126951,120230,123204,131081,128460,130157,134770,141493
Chiapas,133483,134816,138305,145005,148152,154886,165105,167983,172900,181010,191979,201008,210949,210432,212304,217002,219677,219538,223727,223462,222023,228508,237596,247369
Chihuahua,710020,673313,631845,616074,624681,649339,681333,697373,676400,603257,636217,653936,684396,715068,744910,789338,831565,858814,881515,898465,895500,930410,963949,985572
Ciudad de México,2215411,2208775,2190257,2179960,2207562,2277212,2373295,2478165,2529514,2471500,2502508,2615403,2729188,2858855,2978078,3112585,3224366,3332213,3416784,3462346,3315154,3257692,3359305,3447051
Coahuila,515067,504040,498333,484968,490031,498471,515041,532471,537585,497528,538623,583943,620156,639083,662696,696630,720473,745903,779207,788467,759478,782602,820891,856035
Colima,74398,77429,79896,79930,83097,86357,89392,94082,96658,96818,102220,108263,111053,114845,117362,119991,122161,128559,133116,136011,135688,138681,143226,149043
Durango,181462,171325,168332,162757,166952,169568,171651,175857,178496,174732,181436,190226,205551,210354,217120,223237,231513,237401,245516,245658,240428,248032,258475,260332
Guanajuato,497757,509452,515669,518152,524172,535947,564138,586257,597902,590433,623145,656364,692175,729967,783529,834422,880222,934762,983767,1016223,987693,1005959,1046094,1085757
Guerrero,121593,122168,120169,122027,127097,131291,137118,141925,145441,143175,142967,142519,141603,145925,152215,154006,155418,159481,160675,155039,147479,148092,152795,159062
Hidalgo,147728,150239,148319,146043,147242,148248,151592,159460,166603,160024,163986,176254,184977,191554,200916,205251,212900,218896,229389,233063,223945,230768,253567,266247
Jalisco,1017473,1021450,1025454,1034289,1057021,1083163,1132340,1186066,1218025,1200709,1242643,1294432,1333225,1382438,1432723,1505361,1587197,1683442,1757571,1804206,1788070,1827728,1905955,1985169
México,1005479,1029952,1020720,1007227,1013098,1030412,1085349,1147076,1172957,1138280,1186516,1241545,1310548,1330406,1351056,1405179,1460820,1526895,1609634,1640170,1604856,1628780,1703451,1775870
Michoacán,238691,247505,249744,251477,258685,266555,279753,297159,308592,315145,328901,340265,347771,348366,357295,372694,391297,418477,441736,452933,455768,459449,465601,478264
Morelos,149099,149120,147718,149488,151314,154590,159857,165601,167453,165940,172802,180930,190374,194403,196528,199534,202993,204404,209503,209374,206577,207950,213984,218459
Nayarit,79613,80593,79666,83695,88887,94006,100770,102232,107187,105159,109631,113155,117679,118286,123160,128062,132760,137075,139681,149072,148641,157540,169708,181112
Nuevo León,935570,934056,934016,936115,951178,985507,1043828,1100495,1144359,1099009,1158631,1218455,1266908,1298642,1347366,1414660,1474787,1544054,1606329,1646135,1610454,1672385,1759068,1840633
Oaxaca,134499,138821,141680,144939,146031,149763,152753,154981,158850,162507,164777,168852,178713,186103,190852,197914,200294,206178,214305,214308,213486,213543,219200,227355
Puebla,415878,411032,400979,395635,394113,400984,404306,413270,421230,413728,434227,453228,479021,494014,508133,533811,555790,587206,615783,629636,599781,599070,621071,643354
Querétaro,244701,247133,250381,253674,264470,272627,290659,306907,317993,308622,335653,366501,395028,420258,439139,464536,499550,541152,573518,607083,596184,620721,655698,690488
Quintana Roo,165005,173917,174531,185304,202013,223160,236996,258801,271054,257052,262460,270516,277369,291690,309761,333598,367446,405453,448276,466212,386127,405238,462515,500909
San Luis Potosí,228451,234256,239854,239099,245155,258007,272608,281803,287267,279686,292021,310548,327936,344558,356708,372282,389304,417113,438161,447115,442401,451027,459709,474721
Sinaloa,303562,308213,312132,313442,319283,331285,346730,363482,385677,382045,395035,403075,420450,430670,447112,470437,500138,521246,541591,560914,558111,576812,587186,601359
Sonora,394509,386120,367747,366308,385005,407514,434435,453088,455485,432195,457050,480664,509489,529467,539501,552297,570814,597314,612534,626119,615397,629300,650767,662575
Tabasco,107565,110856,111299,118669,121054,127037,136003,140934,149436,152135,157492,166153,180182,190027,197133,195903,179001,170683,167005,168192,172319,196182,227010,242750
Tamaulipas,507651,509625,497284,487412,499849,524784,548974,562913,568510,526737,541324,545946,561007,572164,586391,600721,611962,639554,670089,685146,667805,676673,697132,698538
Tlaxcala,77577,77111,75282,71742,71566,72967,72279,71051,69776,64598,68386,71319,74748,78290,79439,83617,88526,95632,99449,102816,100763,103437,108225,114055
Veracruz,559989,563107,559892,567291,570318,581241,609431,630505,642953,656119,679235,691687,726609,742331,746377,744583,726452,725844,740542,751959,734565,729167,745383,763931
Yucatán,232710,238173,239003,240987,245841,251862,257246,263982,267317,263662,271682,279597,291888,302857,312468,324908,339257,353879,366903,381415,369755,380464,406081,426617
Zacatecas,95233,100229,101333,101987,103305,104547,106978,113491,121691,124912,131692,137704,143177,146735,153739,161165,166882,172226,183796,187657,185906,191628,195728,197673
