entidad,casos_2000,casos_2010,casos_2020,poblacion_2000,poblacion_2010,poblacion_2020,tasa_2000,tasa_2010,tasa_2020,Delta_T_2000,Delta_T_2010,riesgo_relativo_2000,riesgo_relativo_2010,riesgo_relativo_2020
     Aguascalientes,67543,178663,161409,944285,1184996,1425607,7152.8,15077.1,11322.1,58.3,-24.9,1.34,2.83,2.13
     Baja California,122240,319744,496810,2487367,3155070,3769020,4914.4,10134.3,13181.4,168.2,-30.1,0.92,1.91,2.48
     Baja California Sur,29843,94018,88486,424041,637026,798447,7037.8,14758.9,11082.3,57.5,24.9,1.32,2.77,2.08
     Campeche,41807,37900,67295,690689,822441,928363,6052.9,4608.2,7248.8,19.8,-57.3,1.14,0.87,1.36
     Chiapas,82796,138197,163974,3920892,4796580,5543828,2111.7,2881.2,2957.8,40.1,-2.7,0.4,0.54,0.56
     Chihuahua,199771,306279,362803,3052907,3406465,3741869,6543.6,8991.1,9695.8,48.2,-7.8,1.23,1.69,1.82
     Ciudad de México,720886,1126374,1988948,8605239,8851080,9209944,8377.3,12725.8,21595.7,157.8,-69.7,1.57,2.39,4.06
     Coahuila ,179643,359312,558629,2298070,2748391,3146771,7817.1,13073.5,17752.5,127.1,-35.8,1.47,2.46,3.34
     Colima,42920,68680,97804,542627,650555,731391,7909.7,10557.1,13372.3,69.1,-26.7,1.49,1.98,2.51
     Durango,98464,204610,237703,1448661,1632934,1832650,6796.9,12530.2,12970.5,90.8,-3.5,1.28,2.36,2.44
     Guanajuato,228811,331682,283830,4663032,5486372,6166934,4906.9,6045.6,4602.4,-6.2,23.9,0.92,1.14,0.87
     Guerrero,79404,141208,119137,3079649,3388768,3540685,2578.3,4166.9,3364.8,30.5,19.2,0.48,0.78,0.63
     Hidalgo,57664,98110,159631,2235591,2665018,3082841,2579.4,3681.4,5178,100.7,-40.7,0.48,0.69,0.97
     Jalisco,363714,699100,1006087,6322002,7350682,8348151,5753.1,9510.7,12051.6,109.5,-26.7,1.08,1.79,2.27
     México,592700,1075664,1384064,13096686,15175862,16992418,4525.6,7088,8145.2,80,-14.9,0.85,1.33,1.53
     Michoacán,131023,197320,295134,3985667,4351037,4748846,3287.4,4535,6214.9,89.1,-37,0.62,0.85,1.17
     Morelos,90151,165798,149250,1555296,1777227,1971520,5796.4,9329,7570.3,30.6,18.9,1.09,1.75,1.42
     Nayarit,44770,77680,96658,920185,1084979,1235456,4865.3,7159.6,7823.7,60.8,-9.3,0.91,1.35,1.47
     Nuevo León,414512,713330,1447052,3834141,4653458,5784442,10811.1,15329,25016.3,131.4,-63.2,2.03,2.88,4.7
     Oaxaca,70951,94130,125804,3438765,3801962,4132148,2063.3,2475.8,3044.5,47.6,-23,0.39,0.47,0.57
     Puebla,194299,254973,452568,5076686,5779829,6583278,3827.3,4411.4,6874.5,79.6,-55.8,0.72,0.83,1.29
     Querétaro,64929,155788,167325,1404306,1827937,2368467,4623.6,8522.6,7064.7,52.8,17.1,0.87,1.6,1.33
     Quintana Roo,52489,71907,184177,874963,1325578,1857985,5999,5424.6,9912.7,65.2,-82.7,1.13,1.02,1.86
     San Luis Potosí,60937,153837,249913,2299360,2585518,2822255,2650.2,5949.9,8855.1,234.1,-48.8,0.5,1.12,1.66
     Sinaloa,219987,303134,408256,2536844,2767761,3026943,8671.7,10952.3,13487.4,55.5,-23.1,1.63,2.06,2.54
     Sonora,136037,259391,369206,2216969,2662480,2944840,6136.2,9742.5,12537.4,104.3,-28.7,1.15,1.83,2.36
     Tabasco,50235,38834,128499,1891829,2238603,2402598,2655.4,1734.7,5348.3,101.4,-208.3,0.5,0.33,1.01
     Tamaulipas,221992,318563,475779,2753222,3268554,3527735,8063,9746.3,13486.8,67.3,-38.4,1.52,1.83,2.54
     Tlaxcala,41538,55483,89614,962646,1169936,1342977,4315,4742.4,6672.8,54.6,-40.7,0.81,0.89,1.25
     Veracruz,321658,466423,709330,6908975,7643194,8062579,4655.7,6102.5,8797.8,89,-44.2,0.88,1.15,1.65
     Yucatán,115214,163850,197624,1658210,1955577,2320898,6948.1,8378.6,8515,22.6,-1.6,1.31,1.58,1.6
     Zacatecas,46175,60074,67310,1353610,1490668,1622138,3411.2,4030,4149.5,21.6,-3,0.64,0.76,0.78
