entidad,casos_2000,casos_2010,casos_2020,afiliados_2000,afiliados_2010,afiliados_2020,tasa_2000,tasa_2010,tasa_2020,Delta_T_2000,Delta_T_2010,Riesgo_relativo_2020,Riesgo_relativo_2010,Riesgo_relativo_2000
Aguascalientes,67543,178663,86265,181598,206272,327624,37193.7,86615.2,26330.5,-29.2,-69.6,0.9,1.4,0.7
Baja California,122240,319744,240628,591396,605982,913425,20669.7,52764.6,26343.5,27.4,-50.1,0.5,0.9,0.7
Baja California Sur,29843,94018,55146,79481,115165,172156,37547.3,81637.7,32032.6,-14.7,-60.8,0.9,1.4,0.9
Campeche,41807,37900,33898,78250,123791,128460,53427.5,30616.1,26388,-50.6,-13.8,1.3,0.5,0.7
Chiapas,82796,138197,58405,133483,191979,222023,62027.4,71985.5,26305.8,-57.6,-63.5,1.5,1.2,0.7
Chihuahua,199771,306279,188236,710020,636217,895500,28136,48140.7,21020.2,-25.3,-56.3,0.7,0.8,0.6
Ciudad de México,720886,1126374,1166080,2215411,2502508,3315154,32539.6,45009.8,35174.2,8.1,-21.9,0.8,0.7,1
Coahuila,179643,359312,229403,515067,538623,759478,34877.6,66709.4,30205.4,-13.4,-54.7,0.8,1.1,0.8
Colima,42920,68680,57427,74398,102220,135688,57689.7,67188.4,42322.8,-26.6,-37,1.4,1.1,1.2
Durango,98464,204610,138378,181462,181436,240428,54261.5,112772.5,57554.9,6.1,-49,1.3,1.9,1.6
Guanajuato,228811,331682,161048,497757,623145,987693,45968.4,53227.1,16305.5,-64.5,-69.4,1.1,0.9,0.4
Guerrero,79404,141208,62192,121593,142967,147479,65303.1,98769.6,42170.1,-35.4,-57.3,1.6,1.6,1.2
Hidalgo,57664,98110,81643,147728,163986,223945,39033.9,59828.3,36456.7,-6.6,-39.1,0.9,1,1
Jalisco,363714,699100,542413,1017473,1242643,1788070,35746.8,56259.1,30335.1,-15.1,-46.1,0.9,0.9,0.8
México,592700,1075664,841972,1005479,1186516,1604856,58947,90657.4,52464,-11,-42.1,1.4,1.5,1.4
Michoacan,131023,197320,162597,238691,328901,455768,54892.3,59993.7,35675.4,-35,-40.5,1.3,1,1
Morelos,90151,165798,112343,149099,172802,206577,60463.9,95946.8,54383.1,-10.1,-43.3,1.4,1.6,1.5
Nayarit,44770,77680,63814,79613,109631,148641,56234.5,70855.9,42931.6,-23.7,-39.4,1.3,1.2,1.2
Nuevo Leon,414512,713330,1063843,935570,1158631,1610454,44305.8,61566.6,66058.6,49.1,7.3,1.1,1,1.8
Oaxaca,70951,94130,56490,134499,164777,213486,52752.1,57125.7,26460.8,-49.8,-53.7,1.3,1,0.7
Puebla,194299,254973,334799,415878,434227,599781,46720.2,58718.8,55820.2,19.5,-4.9,1.1,1,1.5
Queretaro,64929,155788,97605,244701,335653,596184,26534,46413.4,16371.6,-38.3,-64.7,0.6,0.8,0.4
Quintana Roo,52489,71907,93425,165005,262460,386127,31810.6,27397.3,24195.4,-23.9,-11.7,0.8,0.5,0.7
San Luis Potosi,60937,153837,178049,228451,292021,442401,26674,52680.1,40246.1,50.9,-23.6,0.6,0.9,1.1
Sinaloa,219987,303134,204571,303562,395035,558111,72468.6,76736,36654.2,-49.4,-52.2,1.7,1.3,1
Sonora,136037,259391,175576,394509,457050,615397,34482.6,56753.3,28530.5,-17.3,-49.7,0.8,0.9,0.8
Tabasco,50235,38834,54694,107565,157492,172319,46702,24657.8,31740,-32,28.7,1.1,0.4,0.9
Tamaulipas,221992,318563,233389,507651,541324,667805,43729.3,58848.9,34948.7,-20.1,-40.6,1,1,1
Tlaxcala,41538,55483,40421,77577,68386,100763,53544.2,81132.1,40114.9,-25.1,-50.6,1.3,1.3,1.1
Veracruz,321658,466423,341919,559989,679235,734565,57440.1,68668.9,46547.1,-19,-32.2,1.4,1.1,1.3
Yucatan,115214,163850,79098,232710,271682,369755,49509.7,60309.5,21392,-56.8,-64.5,1.2,1,0.6
Zacatecas,46175,60074,33773,95233,131692,185906,48486.3,45617,18166.7,-62.5,-60.2,1.2,0.8,0.5
